Repository,Company Name,Company URL,Description,Job Page,Tags,Language
Flagsmith/flagsmith,Flagsmith,https://flagsmith.com,Open-source feature flag and remote config service. Alternative to LaunchDarkly.,https://flagsmith.com/careers,"feature-flags, remote-config, deployment, continuous-delivery",Python
ClickHouse/ClickHouse,ClickHouse,https://clickhouse.com,Fast open-source column-oriented database management system for real-time analytics.,https://clickhouse.com/company/careers,"database, analytics, olap, column-oriented, real-time",C++
timescale/timescaledb,Timescale,https://www.timescale.com,Open-source time-series SQL database optimized for fast ingest and complex queries.,https://www.timescale.com/careers,"time-series, database, postgresql, sql, analytics",C
questdb/questdb,QuestDB,https://questdb.io,High-performance time-series database for real-time analytics and monitoring.,https://questdb.io/careers,"time-series, database, sql, analytics, high-performance",Java
influxdata/influxdb,InfluxData,https://www.influxdata.com,"Scalable time-series database for metrics, events, and real-time analytics.",https://www.influxdata.com/careers/,"time-series, database, monitoring, metrics, analytics",Rust
apache/kafka,Confluent,https://www.confluent.io,Distributed event streaming platform for high-performance data pipelines.,https://www.confluent.io/careers/,"streaming, messaging, kafka, distributed-systems, event-driven",Java
confluentinc/ksql,Confluent,https://www.confluent.io,Event streaming database purpose-built for stream processing applications.,https://www.confluent.io/careers/,"kafka, streaming, sql, event-streaming, real-time",Java
apache/flink,Ververica,https://www.ververica.com,Stateful computations over data streams for distributed stream and batch processing.,https://www.ververica.com/careers,"stream-processing, batch-processing, big-data, distributed-systems",Java
apache/spark,Databricks,https://www.databricks.com,Unified analytics engine for large-scale data processing.,https://www.databricks.com/company/careers,"big-data, spark, analytics, distributed-computing, data-processing",Scala
databricks/koalas,Databricks,https://www.databricks.com,Pandas API on Apache Spark for distributed data processing.,https://www.databricks.com/company/careers,"pandas, spark, data-science, python, distributed-computing",Python
apache/airflow,Astronomer,https://www.astronomer.io,"Platform to programmatically author, schedule and monitor workflows.",https://www.astronomer.io/careers/,"workflow, orchestration, data-pipeline, etl, scheduling",Python
astronomer/astronomer,Astronomer,https://www.astronomer.io,Enterprise Apache Airflow platform for data orchestration.,https://www.astronomer.io/careers/,"airflow, orchestration, data-engineering, kubernetes, enterprise",Go
apache/beam,Google Cloud,https://cloud.google.com,Unified programming model for batch and streaming data processing.,https://cloud.google.com/careers,"beam, data-processing, streaming, batch, distributed-systems",Java
dbt-labs/dbt-cloud,dbt Labs,https://www.getdbt.com,Cloud-based development environment for dbt data transformations.,https://www.getdbt.com/careers,"dbt, data-transformation, analytics-engineering, cloud, sql",Python
fivetran/fivetran_connector_sdk,Fivetran,https://www.fivetran.com,Automated data movement platform for analytics and data warehouses.,https://www.fivetran.com/careers,"etl, data-integration, data-pipeline, analytics, automation",Java
airbyte-io/airbyte,Airbyte,https://airbyte.com,Open-source data integration platform syncing data from APIs and databases.,https://airbyte.com/company/careers,"data-integration, etl, elt, connectors, data-engineering",Python
meltano/meltano,Meltano,https://meltano.com,Open-source platform for the whole data lifecycle from extraction to orchestration.,https://meltano.com/jobs,"data-integration, etl, elt, data-ops, singer",Python
singer-io/getting-started,Stitch,https://www.stitchdata.com,Open-source standard for writing scripts that move data.,https://www.stitchdata.com/careers/,"etl, data-integration, data-pipeline, open-standard",Python
redpanda-data/redpanda,Redpanda,https://www.redpanda.com,Streaming data platform for mission critical workloads. Kafka API compatible.,https://www.redpanda.com/careers,"streaming, kafka-compatible, real-time, messaging, c-plus-plus",C++
vectorized-io/redpanda,Redpanda,https://www.redpanda.com,High-performance streaming platform. Kafka API compatible without Zookeeper.,https://www.redpanda.com/careers,"streaming, kafka, real-time, distributed-systems, performance",C++
apache/pulsar,StreamNative,https://streamnative.io,Cloud-native distributed messaging and streaming platform.,https://streamnative.io/careers,"messaging, streaming, cloud-native, pub-sub, distributed-systems",Java
streamnative/pulsar,StreamNative,https://streamnative.io,Cloud-native distributed pub-sub messaging system.,https://streamnative.io/careers,"pulsar, messaging, streaming, cloud-native, distributed-systems",Java
nats-io/nats-server,Synadia,https://synadia.com,High-performance cloud-native messaging system.,https://synadia.com/careers,"messaging, cloud-native, microservices, distributed-systems, golang",Go
nats-io/nats.go,Synadia,https://synadia.com,Go client for NATS messaging system.,https://synadia.com/careers,"nats, messaging, go, client-library, cloud-native",Go
rabbitmq/rabbitmq-server,Broadcom,https://www.broadcom.com,Open-source message broker supporting multiple messaging protocols.,https://www.broadcom.com/company/careers,"messaging, message-broker, amqp, erlang, distributed-systems",Erlang
canonical/lxd,Canonical,https://canonical.com,Next generation system container and virtual machine manager.,https://canonical.com/careers,"containers, virtualization, lxc, cloud, ubuntu",Go
canonical/multipass,Canonical,https://canonical.com,"Lightweight VM manager for Linux, Windows and macOS.",https://canonical.com/careers,"virtualization, vm, cloud, ubuntu, cross-platform",Go
ubuntu/ubuntu-make,Canonical,https://canonical.com,Easy setup of common tools for developers on Ubuntu.,https://canonical.com/careers,"ubuntu, developer-tools, setup, linux, automation",Python
containers/podman,Red Hat,https://www.redhat.com,Tool for managing OCI containers and pods.,https://www.redhat.com/en/jobs,"containers, oci, pods, docker-alternative, kubernetes",Go
containers/buildah,Red Hat,https://www.redhat.com,Tool that facilitates building OCI container images.,https://www.redhat.com/en/jobs,"containers, build-tool, oci, docker-alternative, images",Go
containers/skopeo,Red Hat,https://www.redhat.com,Work with remote images registries - retrieving information and copying images.,https://www.redhat.com/en/jobs,"containers, registries, images, oci, docker",Go
redhat-developer/vscode-java,Red Hat,https://www.redhat.com,Java Language Support for Visual Studio Code.,https://www.redhat.com/en/jobs,"java, vscode, language-server, ide, developer-tools",TypeScript
ansible/ansible,Red Hat,https://www.redhat.com,Radically simple IT automation platform.,https://www.redhat.com/en/jobs,"automation, configuration-management, orchestration, devops, python",Python
ansible/awx,Red Hat,https://www.redhat.com,Web-based user interface and task engine for Ansible.,https://www.redhat.com/en/jobs,"ansible, automation, web-ui, task-engine, devops",Python
rancher/rancher,SUSE,https://www.suse.com,Complete container management platform for Kubernetes.,https://www.suse.com/company/careers/,"kubernetes, containers, management, multi-cluster, devops",Go
rancher/k3s,SUSE,https://www.suse.com,Lightweight Kubernetes distribution for IoT and edge computing.,https://www.suse.com/company/careers/,"kubernetes, lightweight, iot, edge-computing, containers",Go
k3s-io/k3s,SUSE,https://www.suse.com,Lightweight certified Kubernetes distribution built for IoT and Edge.,https://www.suse.com/company/careers/,"kubernetes, k3s, edge, iot, lightweight",Go
longhorn/longhorn,SUSE,https://www.suse.com,Cloud-native distributed block storage for Kubernetes.,https://www.suse.com/company/careers/,"storage, kubernetes, cloud-native, distributed-storage, block-storage",Go
linkerd/linkerd2,Buoyant,https://buoyant.io,Ultralight service mesh for Kubernetes and beyond.,https://buoyant.io/careers,"service-mesh, kubernetes, linkerd, microservices, cloud-native",Go
linkerd/linkerd2-proxy,Buoyant,https://buoyant.io,Lightweight proxy written in Rust for the Linkerd service mesh.,https://buoyant.io/careers,"proxy, service-mesh, rust, linkerd, performance",Rust
istio/istio,Solo.io,https://www.solo.io,"Connect, secure, control, and observe services.",https://www.solo.io/company/careers,"service-mesh, kubernetes, microservices, security, observability",Go
envoyproxy/envoy,Solo.io,https://www.solo.io,Cloud-native high-performance edge/middle/service proxy.,https://www.solo.io/company/careers,"proxy, envoy, cloud-native, load-balancer, service-mesh",C++
solo-io/gloo,Solo.io,https://www.solo.io,Next-generation API gateway and Kubernetes ingress controller.,https://www.solo.io/company/careers,"api-gateway, kubernetes, ingress, envoy, microservices",Go
solo-io/solo-kit,Solo.io,https://www.solo.io,Toolkit for building Kubernetes controllers with Envoy configuration.,https://www.solo.io/company/careers,"kubernetes, controllers, envoy, code-generation, api",Go
etcd-io/etcd,Red Hat,https://www.redhat.com,Distributed reliable key-value store for distributed systems.,https://www.redhat.com/en/jobs,"distributed-systems, key-value-store, raft, consensus, kubernetes",Go
